Model,Brand,Price_USD,Release_Year,Camera_MP,Battery_mAh,RAM_GB,Storage_GB,Chipset,Performance_Level,5G,Display_Size_inch,Display_Type,Weight_g
G 52,Motorola,415,2019,64,4577,12,256,Dimensity 1080,Mid-range,Yes,6.64,AMOLED,222
GT 94,Realme,385,2019,12,3533,12,64,Helio G99,Budget,Yes,5.65,AMOLED,196
X 96,Vivo,891,2020,108,5252,16,128,Helio G99,Budget,Yes,5.99,OLED,184
Y 55,Vivo,387,2020,12,5003,8,128,Helio G88,Budget,Yes,6.25,IPS LCD,151
OnePlus 29,OnePlus,358,2024,12,4529,16,512,Helio G99,Budget,Yes,6.72,OLED,225
Galaxy S 41,Samsung,279,2021,50,5444,8,128,Snapdragon 8 Gen 2,Flagship,Yes,5.96,OLED,213
OnePlus 60,OnePlus,539,2020,12,3552,16,512,Snapdragon 8 Gen 1,Flagship,Yes,5.91,OLED,182
C 48,Realme,364,2021,12,4157,16,64,Apple A15 Bionic,High-end,Yes,6.51,OLED,189
X 86,Vivo,154,2022,50,5200,4,64,Dimensity 1080,Mid-range,No,6.08,IPS LCD,207
X 18,Vivo,562,2022,50,4045,4,512,Helio G88,Budget,Yes,6.16,IPS LCD,178
Galaxy A 47,Samsung,586,2021,12,5246,4,128,Dimensity 900,Mid-range,Yes,5.75,OLED,214
iPhone 61,Apple,492,2022,108,3688,12,512,Dimensity 900,Mid-range,Yes,5.71,AMOLED,240
Nord 59,OnePlus,747,2021,200,3977,6,512,Snapdragon 8 Gen 1,Flagship,Yes,6.54,IPS LCD,214
Mi 80,Xiaomi,1085,2019,108,5506,6,512,Snapdragon 778G,High-end,Yes,6.34,AMOLED,181
G 16,Motorola,604,2024,108,5047,12,512,Snapdragon 8 Gen 1,Flagship,Yes,6.44,OLED,236
Galaxy A 73,Samsung,449,2021,50,5261,16,128,Helio G88,Budget,Yes,6.08,AMOLED,182
Nord 23,OnePlus,813,2021,108,5571,16,128,Dimensity 1080,Mid-range,Yes,6.08,OLED,205
iPhone 99,Apple,399,2023,200,4785,4,512,Apple A15 Bionic,High-end,Yes,6.79,OLED,183
G 3,Nokia,1112,2023,50,4558,12,512,Helio G99,Budget,Yes,5.92,AMOLED,201
Find 94,Oppo,692,2020,108,3918,12,512,Snapdragon 8 Gen 2,Flagship,Yes,6.18,AMOLED,174
Poco 61,Xiaomi,753,2023,200,4675,4,512,Snapdragon 8 Gen 2,Flagship,Yes,6.25,OLED,170
OnePlus 98,OnePlus,962,2023,108,3560,12,512,Apple A16 Bionic,Flagship,Yes,6.4,AMOLED,185
Edge 71,Motorola,443,2024,108,4650,8,256,Helio G88,Budget,Yes,6.27,IPS LCD,203
Nova 84,Huawei,576,2022,108,4557,4,128,Helio G88,Budget,Yes,5.99,OLED,197
C 48,Realme,501,2023,50,5775,16,128,Helio G99,Budget,Yes,6.59,IPS LCD,236
Nord 45,OnePlus,644,2023,50,5786,6,128,Apple A15 Bionic,High-end,Yes,5.58,IPS LCD,227
Poco 79,Xiaomi,963,2019,12,5493,4,512,Snapdragon 8 Gen 2,Flagship,Yes,6.85,AMOLED,175
Galaxy M 63,Samsung,182,2023,108,5261,8,256,Snapdragon 778G,High-end,Yes,6.35,OLED,180
Galaxy S 55,Samsung,455,2019,50,3941,12,256,Dimensity 1080,Mid-range,Yes,6.0,OLED,179
P 72,Huawei,484,2022,108,5636,12,256,Helio G99,Budget,Yes,6.16,OLED,229
Galaxy S 14,Samsung,879,2021,12,4459,12,128,Apple A16 Bionic,Flagship,Yes,5.58,AMOLED,186
Edge 12,Motorola,598,2022,12,5739,16,64,Dimensity 1080,Mid-range,Yes,6.35,IPS LCD,214
Find 73,Oppo,997,2023,108,5549,12,64,Snapdragon 695,Mid-range,Yes,5.73,IPS LCD,190
Poco 91,Xiaomi,458,2020,48,3500,8,64,Helio G99,Budget,Yes,6.33,IPS LCD,171
Poco 15,Xiaomi,161,2021,12,5174,8,512,Apple A15 Bionic,High-end,No,6.85,IPS LCD,206
iPhone 34,Apple,546,2020,12,4420,4,64,Snapdragon 8 Gen 1,Flagship,Yes,5.75,IPS LCD,210
Nord 14,OnePlus,696,2019,12,3895,12,256,Apple A16 Bionic,Flagship,Yes,6.42,AMOLED,236
X 28,Nokia,663,2020,50,3503,8,128,Dimensity 900,Mid-range,Yes,6.23,OLED,185
Poco 5,Xiaomi,238,2021,48,5722,16,128,Apple A15 Bionic,High-end,No,5.84,OLED,228
C 14,Realme,762,2019,200,5834,12,256,Apple A15 Bionic,High-end,Yes,6.61,IPS LCD,169
Mi 55,Xiaomi,807,2024,64,3657,6,128,Dimensity 900,Mid-range,Yes,6.44,IPS LCD,170
Redmi Note 84,Xiaomi,757,2023,64,5390,12,64,Snapdragon 695,Mid-range,Yes,6.78,OLED,183
C 29,Realme,1118,2022,12,5579,16,64,Snapdragon 695,Mid-range,Yes,6.14,AMOLED,207
X 83,Nokia,403,2019,48,5422,4,256,Snapdragon 8 Gen 1,Flagship,Yes,6.66,IPS LCD,219
Galaxy M 45,Samsung,627,2024,200,5276,4,256,Dimensity 900,Mid-range,Yes,5.62,IPS LCD,172
G 30,Nokia,308,2020,200,5928,8,128,Helio G88,Budget,Yes,6.39,OLED,235
Find 67,Oppo,536,2024,200,4454,6,512,Apple A15 Bionic,High-end,Yes,5.79,IPS LCD,234
iPhone 58,Apple,757,2024,200,5023,16,128,Snapdragon 8 Gen 1,Flagship,Yes,5.69,IPS LCD,213
iPhone 81,Apple,635,2024,48,5260,8,256,Snapdragon 778G,High-end,Yes,5.94,OLED,214
Find 87,Oppo,696,2020,108,3888,8,128,Snapdragon 8 Gen 1,Flagship,Yes,6.64,IPS LCD,207
Reno 72,Oppo,914,2023,200,5807,6,128,Apple A15 Bionic,High-end,Yes,5.84,OLED,193
G 7,Motorola,415,2023,48,4346,6,128,Dimensity 1080,Mid-range,Yes,6.66,IPS LCD,167
Galaxy S 14,Samsung,295,2020,108,5798,8,512,Snapdragon 695,Mid-range,Yes,6.6,OLED,180
X 85,Vivo,948,2020,48,4301,4,128,Snapdragon 695,Mid-range,Yes,6.41,AMOLED,202
P 73,Huawei,845,2019,200,3998,8,512,Snapdragon 8 Gen 2,Flagship,Yes,6.42,AMOLED,195
iPhone 77,Apple,197,2022,108,5585,6,512,Apple A15 Bionic,High-end,Yes,6.76,AMOLED,233
iPhone 4,Apple,492,2023,50,5884,12,128,Helio G88,Budget,Yes,6.49,IPS LCD,153
Find 88,Oppo,341,2021,48,5045,12,256,Snapdragon 8 Gen 1,Flagship,Yes,5.57,IPS LCD,160
G 62,Motorola,1169,2021,108,5525,8,128,Apple A16 Bionic,Flagship,Yes,5.6,OLED,240
Reno 42,Oppo,631,2020,12,5598,16,64,Snapdragon 8 Gen 1,Flagship,Yes,5.62,OLED,198
Nord 96,OnePlus,1080,2019,50,5883,4,256,Helio G88,Budget,Yes,5.67,AMOLED,193
OnePlus 52,OnePlus,934,2021,50,4206,16,128,Apple A16 Bionic,Flagship,Yes,6.12,IPS LCD,226
Mi 78,Xiaomi,655,2023,48,5312,8,128,Snapdragon 695,Mid-range,Yes,6.46,IPS LCD,224
Nord 92,OnePlus,836,2019,12,4109,4,128,Snapdragon 8 Gen 2,Flagship,Yes,5.72,IPS LCD,198
GT 12,Realme,350,2020,50,4534,8,256,Snapdragon 8 Gen 2,Flagship,Yes,6.29,IPS LCD,218
Find 35,Oppo,675,2022,64,3681,16,128,Snapdragon 8 Gen 2,Flagship,Yes,6.0,AMOLED,172
iPhone 20,Apple,668,2019,48,4859,12,512,Snapdragon 8 Gen 1,Flagship,Yes,6.06,OLED,207
X 68,Vivo,446,2024,64,4448,6,256,Apple A15 Bionic,High-end,Yes,5.95,AMOLED,173
OnePlus 88,OnePlus,589,2021,50,4753,16,512,Dimensity 900,Mid-range,Yes,6.6,IPS LCD,215
Galaxy A 97,Samsung,256,2020,108,4563,4,64,Apple A16 Bionic,Flagship,Yes,6.73,IPS LCD,237
Nord 23,OnePlus,1115,2020,48,5822,6,512,Apple A16 Bionic,Flagship,Yes,6.6,AMOLED,214
iPhone 30,Apple,1166,2023,108,3632,4,256,Helio G99,Budget,Yes,6.8,AMOLED,212
G 22,Motorola,518,2021,64,5899,16,512,Snapdragon 778G,High-end,Yes,5.55,OLED,176
Poco 57,Xiaomi,1002,2020,108,3569,4,64,Helio G99,Budget,Yes,6.2,IPS LCD,206
Y 68,Vivo,589,2019,48,5575,4,512,Snapdragon 695,Mid-range,Yes,6.44,IPS LCD,199
Redmi Note 76,Xiaomi,545,2023,200,3535,16,512,Snapdragon 8 Gen 2,Flagship,Yes,6.04,OLED,232
X 89,Vivo,1083,2023,200,3586,12,512,Apple A16 Bionic,Flagship,Yes,6.82,AMOLED,175
G 28,Nokia,478,2024,108,4367,8,512,Snapdragon 8 Gen 1,Flagship,Yes,6.5,IPS LCD,176
OnePlus 21,OnePlus,1096,2024,48,5416,16,256,Snapdragon 778G,High-end,Yes,6.35,AMOLED,193
X 4,Nokia,209,2020,64,5058,8,512,Snapdragon 8 Gen 2,Flagship,Yes,5.72,IPS LCD,216
Galaxy M 14,Samsung,902,2019,12,5827,16,256,Apple A15 Bionic,High-end,Yes,5.59,IPS LCD,152
Reno 99,Oppo,195,2020,12,5103,12,256,Dimensity 1080,Mid-range,No,6.18,IPS LCD,165
G 9,Nokia,198,2019,64,3863,16,128,Helio G88,Budget,Yes,6.87,OLED,217
G 98,Motorola,347,2021,50,5301,12,64,Dimensity 1080,Mid-range,Yes,6.67,OLED,181
Edge 30,Motorola,978,2021,50,4317,4,256,Apple A15 Bionic,High-end,Yes,5.89,IPS LCD,200
X 97,Vivo,347,2022,64,4619,6,256,Snapdragon 8 Gen 2,Flagship,Yes,6.76,AMOLED,228
Mi 43,Xiaomi,258,2019,64,3996,6,256,Dimensity 900,Mid-range,Yes,6.21,AMOLED,168
X 94,Vivo,1130,2019,64,5664,4,512,Helio G99,Budget,Yes,6.01,AMOLED,218
Galaxy S 31,Samsung,229,2021,48,4551,12,128,Snapdragon 778G,High-end,Yes,6.62,OLED,206
C 75,Realme,245,2020,12,4380,8,256,Snapdragon 8 Gen 1,Flagship,No,6.05,AMOLED,198
G 58,Motorola,1160,2021,12,3576,4,256,Helio G88,Budget,Yes,6.49,IPS LCD,184
iPhone 92,Apple,348,2020,48,3769,4,256,Helio G88,Budget,Yes,5.76,OLED,159
Find 2,Oppo,643,2021,48,3528,16,512,Snapdragon 695,Mid-range,Yes,6.68,IPS LCD,228
P 75,Huawei,499,2023,108,4582,16,64,Dimensity 900,Mid-range,Yes,6.29,IPS LCD,193
OnePlus 27,OnePlus,653,2021,108,5279,12,256,Helio G88,Budget,Yes,5.71,IPS LCD,191
iPhone 42,Apple,1021,2020,48,4706,16,64,Helio G99,Budget,Yes,6.11,OLED,160
Y 79,Vivo,1190,2022,12,3859,8,512,Helio G99,Budget,Yes,6.06,AMOLED,239
X 90,Vivo,195,2024,48,3691,8,512,Dimensity 1080,Mid-range,No,6.89,OLED,208
Nord 91,OnePlus,300,2021,12,4687,4,256,Apple A15 Bionic,High-end,Yes,5.82,AMOLED,168
Reno 71,Oppo,896,2019,50,4389,12,512,Dimensity 900,Mid-range,Yes,6.62,OLED,154
X 24,Nokia,751,2021,48,3910,6,256,Apple A16 Bionic,Flagship,Yes,5.92,IPS LCD,153
iPhone 72,Apple,676,2022,48,4675,4,64,Apple A15 Bionic,High-end,Yes,6.79,AMOLED,200
Reno 93,Oppo,334,2022,12,3650,6,64,Helio G88,Budget,Yes,6.8,OLED,199
iPhone 32,Apple,767,2019,64,5272,16,128,Apple A15 Bionic,High-end,Yes,6.04,IPS LCD,157
Edge 61,Motorola,643,2022,50,4918,16,128,Helio G88,Budget,Yes,6.52,AMOLED,209
OnePlus 91,OnePlus,719,2019,108,5562,4,512,Snapdragon 695,Mid-range,Yes,5.8,OLED,216
C 15,Realme,343,2020,64,5820,12,512,Snapdragon 8 Gen 1,Flagship,Yes,5.71,IPS LCD,204
Edge 19,Motorola,242,2021,12,4068,4,128,Helio G99,Budget,No,6.13,OLED,235
G 49,Motorola,1088,2019,12,5256,12,64,Snapdragon 778G,High-end,Yes,6.23,OLED,200
Galaxy S 29,Samsung,333,2021,108,3574,4,64,Apple A16 Bionic,Flagship,Yes,6.18,AMOLED,214
Reno 32,Oppo,254,2020,200,5438,12,512,Snapdragon 8 Gen 2,Flagship,Yes,6.07,OLED,195
Nord 64,OnePlus,286,2024,50,4523,8,128,Apple A15 Bionic,High-end,Yes,6.21,AMOLED,190
Reno 52,Oppo,412,2023,64,4986,12,128,Snapdragon 8 Gen 1,Flagship,Yes,6.11,AMOLED,172
Find 41,Oppo,1166,2021,108,3858,8,512,Apple A16 Bionic,Flagship,Yes,6.17,IPS LCD,168
iPhone 72,Apple,499,2020,12,5786,12,512,Apple A16 Bionic,Flagship,Yes,6.87,IPS LCD,208
GT 2,Realme,882,2023,200,4382,16,256,Apple A16 Bionic,Flagship,Yes,5.69,AMOLED,221
iPhone 70,Apple,730,2019,108,5217,8,64,Snapdragon 8 Gen 1,Flagship,Yes,6.74,OLED,237
GT 13,Realme,505,2019,108,5102,4,64,Dimensity 1080,Mid-range,Yes,5.68,IPS LCD,213
Edge 21,Motorola,481,2023,12,3940,4,64,Apple A15 Bionic,High-end,Yes,5.65,AMOLED,155
Galaxy A 92,Samsung,1175,2019,64,5772,16,256,Helio G88,Budget,Yes,5.74,OLED,167
Galaxy M 13,Samsung,956,2019,200,4601,8,256,Snapdragon 8 Gen 1,Flagship,Yes,6.4,AMOLED,220
Poco 68,Xiaomi,1055,2020,108,3582,6,128,Dimensity 1080,Mid-range,Yes,6.0,IPS LCD,201
X 12,Nokia,597,2021,48,4125,8,256,Dimensity 900,Mid-range,Yes,6.1,IPS LCD,198
X 48,Nokia,223,2019,12,5773,16,64,Helio G88,Budget,No,5.92,AMOLED,169
G 51,Nokia,843,2023,108,5876,4,128,Apple A15 Bionic,High-end,Yes,5.81,AMOLED,207
Galaxy A 81,Samsung,450,2021,50,4616,12,512,Apple A16 Bionic,Flagship,Yes,6.42,AMOLED,160
G 3,Nokia,168,2020,108,3751,6,128,Apple A16 Bionic,Flagship,No,6.38,IPS LCD,185
Galaxy S 66,Samsung,169,2022,12,4454,16,64,Apple A16 Bionic,Flagship,Yes,6.05,IPS LCD,153
Y 39,Vivo,286,2019,48,5255,12,128,Dimensity 900,Mid-range,Yes,5.65,AMOLED,231
Y 21,Vivo,1094,2021,108,4342,4,256,Helio G99,Budget,Yes,6.87,IPS LCD,152
C 73,Realme,263,2022,48,3692,4,64,Helio G88,Budget,Yes,6.24,IPS LCD,179
Nord 75,OnePlus,1095,2023,64,3725,16,64,Dimensity 1080,Mid-range,Yes,5.61,OLED,204
Y 49,Vivo,880,2021,108,4846,12,512,Helio G99,Budget,Yes,6.47,IPS LCD,171
C 43,Realme,677,2019,50,3750,16,512,Snapdragon 695,Mid-range,Yes,6.53,OLED,212
Edge 43,Motorola,265,2019,48,5705,8,128,Snapdragon 8 Gen 1,Flagship,Yes,6.03,AMOLED,220
Reno 35,Oppo,1167,2019,50,5466,4,64,Helio G88,Budget,Yes,5.98,IPS LCD,164
iPhone 87,Apple,765,2020,64,5577,6,128,Snapdragon 695,Mid-range,Yes,5.88,AMOLED,206
G 26,Nokia,250,2023,50,4421,8,64,Snapdragon 778G,High-end,Yes,5.83,AMOLED,213
P 11,Huawei,1037,2020,64,5915,16,128,Apple A16 Bionic,Flagship,Yes,5.53,AMOLED,218
Nova 72,Huawei,563,2021,200,4884,8,128,Apple A15 Bionic,High-end,Yes,6.52,AMOLED,203
iPhone 89,Apple,689,2021,12,4035,16,64,Dimensity 1080,Mid-range,Yes,6.81,OLED,157
Galaxy S 63,Samsung,154,2019,50,4544,16,512,Apple A16 Bionic,Flagship,Yes,5.78,OLED,217
Galaxy S 43,Samsung,641,2019,64,4922,6,256,Helio G99,Budget,Yes,6.63,AMOLED,179
iPhone 16,Apple,1088,2022,12,4186,16,256,Apple A16 Bionic,Flagship,Yes,6.41,IPS LCD,219
P 24,Huawei,250,2024,200,4617,4,256,Helio G88,Budget,No,6.27,IPS LCD,198
C 77,Realme,858,2019,108,4164,12,256,Snapdragon 778G,High-end,Yes,6.09,AMOLED,174
X 55,Vivo,590,2022,64,5317,8,512,Helio G99,Budget,Yes,6.47,OLED,204
GT 92,Realme,287,2020,48,3764,16,64,Snapdragon 8 Gen 2,Flagship,Yes,5.69,OLED,190
X 5,Nokia,1093,2023,108,5166,12,64,Snapdragon 8 Gen 2,Flagship,Yes,6.2,OLED,211
Galaxy A 16,Samsung,509,2022,64,4604,12,64,Apple A15 Bionic,High-end,Yes,6.02,OLED,240
Nova 65,Huawei,258,2020,200,5679,4,512,Apple A16 Bionic,Flagship,Yes,5.8,OLED,191
OnePlus 5,OnePlus,154,2020,108,5037,4,512,Dimensity 1080,Mid-range,Yes,5.9,AMOLED,219
Poco 21,Xiaomi,294,2019,200,5847,6,64,Apple A16 Bionic,Flagship,Yes,6.63,OLED,153
Nova 82,Huawei,506,2023,48,5187,8,256,Snapdragon 8 Gen 1,Flagship,Yes,6.82,OLED,217
GT 82,Realme,585,2021,50,4203,16,256,Dimensity 900,Mid-range,Yes,6.81,AMOLED,240
G 96,Nokia,1199,2021,48,3865,6,512,Helio G88,Budget,Yes,5.52,OLED,153
Reno 22,Oppo,657,2020,64,5876,16,64,Apple A16 Bionic,Flagship,Yes,6.57,AMOLED,181
C 6,Realme,960,2022,108,5417,16,256,Dimensity 1080,Mid-range,Yes,6.03,OLED,168
Galaxy S 94,Samsung,173,2021,108,4446,4,512,Helio G99,Budget,Yes,6.73,IPS LCD,207
Poco 28,Xiaomi,1006,2024,48,3786,4,512,Snapdragon 695,Mid-range,Yes,6.46,IPS LCD,237
OnePlus 18,OnePlus,806,2023,64,3527,4,128,Helio G99,Budget,Yes,6.89,IPS LCD,206
Reno 28,Oppo,494,2021,48,4338,6,128,Dimensity 1080,Mid-range,Yes,5.6,AMOLED,157
Galaxy S 6,Samsung,980,2020,200,5104,6,64,Dimensity 900,Mid-range,Yes,6.79,OLED,162
Edge 14,Motorola,225,2020,12,4326,4,256,Snapdragon 778G,High-end,Yes,6.14,IPS LCD,225
G 58,Motorola,991,2020,108,5026,6,256,Dimensity 1080,Mid-range,Yes,6.5,OLED,208
iPhone 91,Apple,917,2021,50,5172,6,512,Helio G88,Budget,Yes,5.72,IPS LCD,171
iPhone 18,Apple,1038,2019,108,3547,16,256,Helio G99,Budget,Yes,6.39,OLED,184
Redmi Note 4,Xiaomi,1030,2023,64,5458,12,512,Dimensity 900,Mid-range,Yes,5.8,AMOLED,229
OnePlus 21,OnePlus,720,2024,108,4007,4,512,Apple A16 Bionic,Flagship,Yes,6.57,IPS LCD,195
P 22,Huawei,569,2023,50,4311,12,512,Dimensity 1080,Mid-range,Yes,6.41,AMOLED,225
Y 69,Vivo,230,2021,108,4852,12,512,Snapdragon 8 Gen 1,Flagship,Yes,6.18,IPS LCD,165
Redmi Note 67,Xiaomi,233,2021,12,5716,4,128,Dimensity 900,Mid-range,Yes,5.79,AMOLED,207
Mi 79,Xiaomi,619,2021,64,4168,16,256,Dimensity 1080,Mid-range,Yes,6.54,IPS LCD,175
OnePlus 13,OnePlus,1137,2020,12,5126,12,128,Snapdragon 8 Gen 1,Flagship,Yes,6.47,AMOLED,201
Y 29,Vivo,1074,2021,64,4094,8,128,Dimensity 1080,Mid-range,Yes,5.76,AMOLED,156
Redmi Note 20,Xiaomi,668,2019,200,3684,16,512,Snapdragon 695,Mid-range,Yes,5.8,IPS LCD,171
Mi 61,Xiaomi,1198,2022,12,5960,4,128,Snapdragon 778G,High-end,Yes,5.7,OLED,223
G 4,Motorola,714,2021,108,5268,12,64,Dimensity 900,Mid-range,Yes,5.78,OLED,204
X 90,Nokia,1182,2019,48,5816,4,128,Dimensity 900,Mid-range,Yes,6.15,IPS LCD,153
OnePlus 85,OnePlus,1123,2020,48,3518,12,128,Snapdragon 695,Mid-range,Yes,5.99,IPS LCD,237
Galaxy M 1,Samsung,311,2020,108,4794,12,128,Snapdragon 778G,High-end,Yes,6.19,OLED,160
Poco 52,Xiaomi,886,2021,50,5988,6,64,Snapdragon 8 Gen 2,Flagship,Yes,5.95,OLED,226
Galaxy S 43,Samsung,1088,2020,108,5714,16,64,Helio G99,Budget,Yes,5.55,IPS LCD,220
G 26,Nokia,876,2021,48,5014,16,256,Helio G99,Budget,Yes,6.33,AMOLED,234
Edge 11,Motorola,274,2023,48,5173,6,128,Snapdragon 778G,High-end,Yes,6.88,OLED,182
OnePlus 11,OnePlus,417,2022,50,4303,6,256,Snapdragon 8 Gen 2,Flagship,Yes,6.22,AMOLED,200
G 14,Motorola,267,2023,12,4427,4,256,Snapdragon 695,Mid-range,Yes,6.89,AMOLED,178
Reno 39,Oppo,620,2020,12,5319,4,64,Helio G99,Budget,Yes,6.53,AMOLED,224
Reno 37,Oppo,894,2020,108,5880,4,512,Snapdragon 8 Gen 2,Flagship,Yes,5.67,IPS LCD,220
Reno 55,Oppo,1174,2022,200,3898,6,256,Snapdragon 8 Gen 2,Flagship,Yes,6.75,IPS LCD,209
X 59,Nokia,1123,2021,12,4244,4,128,Dimensity 1080,Mid-range,Yes,5.61,OLED,189
C 10,Realme,945,2020,50,4428,16,128,Snapdragon 778G,High-end,Yes,6.37,IPS LCD,166
Find 70,Oppo,341,2020,50,4625,12,512,Snapdragon 8 Gen 2,Flagship,Yes,5.52,OLED,163
P 93,Huawei,188,2024,12,4070,16,512,Snapdragon 778G,High-end,Yes,5.5,IPS LCD,194
Galaxy M 69,Samsung,503,2020,108,3943,4,64,Helio G88,Budget,Yes,6.7,OLED,223
Galaxy A 59,Samsung,554,2019,200,5141,16,256,Dimensity 1080,Mid-range,Yes,6.68,OLED,212
G 71,Nokia,916,2023,50,3697,4,512,Apple A15 Bionic,High-end,Yes,6.36,IPS LCD,202
P 49,Huawei,907,2019,64,4198,6,64,Snapdragon 8 Gen 1,Flagship,Yes,6.63,AMOLED,189
OnePlus 21,OnePlus,962,2020,64,4360,4,64,Dimensity 1080,Mid-range,Yes,6.48,OLED,152
G 39,Nokia,1174,2021,12,5935,4,512,Snapdragon 695,Mid-range,Yes,6.13,OLED,210
P 32,Huawei,241,2019,48,5008,12,256,Dimensity 900,Mid-range,Yes,6.01,IPS LCD,204
Mi 62,Xiaomi,623,2024,12,4773,12,256,Dimensity 900,Mid-range,Yes,5.73,AMOLED,226
Poco 93,Xiaomi,761,2019,12,3578,8,64,Dimensity 1080,Mid-range,Yes,5.79,OLED,163
Redmi Note 65,Xiaomi,868,2023,50,4802,4,128,Helio G88,Budget,Yes,5.78,OLED,158
G 6,Motorola,998,2021,64,5603,6,64,Snapdragon 8 Gen 2,Flagship,Yes,6.64,OLED,227
C 7,Realme,1008,2020,48,3881,6,256,Helio G88,Budget,Yes,6.66,IPS LCD,234
Nova 78,Huawei,723,2023,48,3979,6,64,Apple A16 Bionic,Flagship,Yes,6.53,AMOLED,164
X 63,Nokia,293,2020,108,4373,4,512,Snapdragon 8 Gen 2,Flagship,Yes,5.64,AMOLED,218
Nord 89,OnePlus,234,2023,108,4140,8,64,Snapdragon 8 Gen 2,Flagship,No,6.18,OLED,174
X 93,Vivo,281,2019,64,4721,16,128,Dimensity 900,Mid-range,Yes,5.69,OLED,239
Y 10,Vivo,892,2019,64,3848,6,256,Dimensity 900,Mid-range,Yes,5.63,IPS LCD,160
X 11,Nokia,253,2021,64,5918,16,256,Helio G88,Budget,Yes,6.9,AMOLED,218
OnePlus 65,OnePlus,938,2024,64,4716,16,128,Snapdragon 8 Gen 1,Flagship,Yes,5.91,OLED,198
Redmi Note 38,Xiaomi,1050,2019,64,4281,12,256,Helio G99,Budget,Yes,6.39,IPS LCD,184
P 66,Huawei,823,2020,50,5945,16,64,Helio G99,Budget,Yes,6.69,AMOLED,211
GT 6,Realme,1004,2019,108,4086,16,256,Snapdragon 778G,High-end,Yes,6.38,OLED,182
Y 75,Vivo,502,2021,200,5459,6,64,Apple A15 Bionic,High-end,Yes,5.72,OLED,232
Nord 43,OnePlus,241,2024,50,5674,4,64,Helio G99,Budget,Yes,6.55,OLED,212
Find 50,Oppo,766,2023,108,5685,12,256,Apple A15 Bionic,High-end,Yes,6.26,OLED,177
iPhone 3,Apple,926,2023,200,4752,6,256,Snapdragon 8 Gen 2,Flagship,Yes,6.7,OLED,230
Find 55,Oppo,1077,2023,200,5886,8,64,Apple A16 Bionic,Flagship,Yes,6.71,OLED,199
Poco 57,Xiaomi,670,2022,108,5048,8,128,Snapdragon 695,Mid-range,Yes,6.3,AMOLED,201
Edge 28,Motorola,337,2021,50,4955,12,64,Snapdragon 695,Mid-range,Yes,6.72,IPS LCD,186
iPhone 96,Apple,564,2022,12,4113,4,128,Apple A16 Bionic,Flagship,Yes,5.52,IPS LCD,217
Reno 96,Oppo,160,2020,48,3771,6,256,Helio G99,Budget,Yes,6.75,AMOLED,206
OnePlus 2,OnePlus,421,2022,48,5016,8,256,Apple A15 Bionic,High-end,Yes,6.2,IPS LCD,169
Find 25,Oppo,1107,2024,50,4405,6,128,Dimensity 900,Mid-range,Yes,6.01,OLED,225
G 47,Motorola,851,2020,12,5297,4,128,Helio G88,Budget,Yes,5.71,IPS LCD,183
Galaxy M 5,Samsung,408,2022,48,4791,16,64,Apple A15 Bionic,High-end,Yes,6.71,AMOLED,218
Find 97,Oppo,432,2023,64,4110,8,64,Dimensity 1080,Mid-range,Yes,5.82,IPS LCD,197
G 52,Nokia,798,2019,12,5369,8,64,Snapdragon 8 Gen 2,Flagship,Yes,6.64,OLED,221
Redmi Note 45,Xiaomi,559,2022,64,4870,6,128,Snapdragon 695,Mid-range,Yes,5.76,IPS LCD,151
Galaxy A 56,Samsung,737,2023,64,4065,6,128,Helio G99,Budget,Yes,6.12,OLED,208
X 80,Nokia,231,2021,64,3746,6,64,Helio G99,Budget,No,6.62,OLED,177
Mi 73,Xiaomi,849,2021,108,3980,6,128,Snapdragon 778G,High-end,Yes,6.47,AMOLED,233
OnePlus 24,OnePlus,339,2023,200,5128,16,512,Apple A16 Bionic,Flagship,Yes,6.46,OLED,231
G 72,Motorola,364,2021,50,4076,4,64,Helio G88,Budget,Yes,5.5,OLED,217
OnePlus 95,OnePlus,217,2024,48,3848,16,64,Snapdragon 695,Mid-range,No,6.58,AMOLED,150
GT 9,Realme,198,2024,48,5791,4,128,Dimensity 900,Mid-range,No,5.7,OLED,170
Y 30,Vivo,618,2022,50,4839,4,256,Dimensity 1080,Mid-range,Yes,5.86,OLED,165
OnePlus 83,OnePlus,877,2024,200,4008,16,64,Dimensity 900,Mid-range,Yes,5.95,OLED,176
C 56,Realme,958,2023,48,5469,6,512,Helio G99,Budget,Yes,6.15,AMOLED,160
C 13,Realme,682,2021,64,5498,16,64,Dimensity 1080,Mid-range,Yes,5.89,AMOLED,161
Reno 70,Oppo,334,2020,50,4802,4,512,Apple A15 Bionic,High-end,Yes,6.65,OLED,153
Nord 57,OnePlus,1127,2019,108,4059,16,128,Dimensity 900,Mid-range,Yes,5.79,AMOLED,225
Find 63,Oppo,731,2020,64,3668,6,128,Helio G88,Budget,Yes,6.49,AMOLED,195
Edge 20,Motorola,596,2021,48,4430,12,256,Dimensity 900,Mid-range,Yes,5.85,AMOLED,207
Galaxy S 55,Samsung,364,2019,50,5815,8,64,Snapdragon 695,Mid-range,Yes,5.91,OLED,188
C 67,Realme,489,2021,108,4913,6,512,Apple A16 Bionic,Flagship,Yes,5.72,OLED,205
G 46,Motorola,216,2021,200,3962,8,256,Helio G99,Budget,No,6.42,AMOLED,227
Nova 27,Huawei,642,2023,12,5307,8,64,Helio G88,Budget,Yes,6.32,OLED,178
